Year,Month,Temperature,Sum
2000,1,-1.2,1717175
2000,2,-0.99,1766341
2000,3,6.64,1490537
2000,4,12.11,1096964
2000,5,17.59,790248
2000,6,23.17,551581
2000,7,26.52,464203
2000,8,26.26,451322
2000,9,20.79,517377
2000,10,15.37,694927
2000,11,7.65,1103071
2000,12,1.8,1536703
2001,1,-2.9,1929809
2001,2,0.64,1898932
2001,3,5.73,1561149
2001,4,13.82,1185842
2001,5,19.2,775723
2001,6,22.51,559039
2001,7,26.05,511101
2001,8,26.53,489343
2001,9,22.43,495044
2001,10,16.65,662916
2001,11,7.48,1110812
2001,12,0.28,1678955
2002,1,1.04,1996898
2002,2,3.28,1804027
2002,3,8.15,1527347
2002,4,13.89,1190634
2002,5,18.07,878217
2002,6,22.16,642123
2002,7,25.14,604155
2002,8,24.31,570180
2002,9,21.52,607560
2002,10,13.41,863066
2002,11,4.79,1523585
2002,12,2.43,1882949
2003,1,-1.74,2248403
2003,2,3.16,2067679
2003,3,6.85,1733931
2003,4,13.37,1335149
2003,5,19.2,945123
2003,6,21.5,699461
2003,7,23.29,655180
2003,8,24.2,611921
2003,9,21.28,644321
2003,10,14.33,868509
2003,11,10.06,1293413
2003,12,1.59,1868587
2004,1,-0.76,2202766
2004,2,3.0,2314186
2004,3,6.8,1897357
2004,4,13.42,1412643
2004,5,17.78,1009454
2004,6,22.93,779587
2004,7,25.06,701736
2004,8,25.97,659724
2004,9,21.73,668565
2004,10,15.44,884255
2004,11,9.65,1304642
2004,12,2.94,1836434
2005,1,-1.61,2472064
2005,2,-1.05,2422524
2005,3,4.74,2172187
2005,4,13.56,1590832
2005,5,17.79,1058630
2005,6,22.73,816837
2005,7,25.25,728768
2005,8,25.36,679575
2005,9,22.12,700362
2005,10,15.09,912500
2005,11,9.11,1429128
2005,12,-2.79,2311289
2006,1,0.59,2721205
2006,2,0.93,2351639
2006,3,5.91,2076614
2006,4,11.86,1583588
2006,5,18.18,1099666
2006,6,21.83,854828
2006,7,23.22,788210
2006,8,27.13,774058
2006,9,20.96,773350
2006,10,18.17,850652
2006,11,9.21,1474566
2006,12,2.25,2266572
2007,1,1.23,2570097
2007,2,4.69,2275596
2007,3,6.83,2061975
2007,4,11.91,1703908
2007,5,18.28,1166516
2007,6,22.8,927906
2007,7,24.12,836851
2007,8,26.61,818061
2007,9,21.79,780097
2007,10,15.63,1054898
2007,11,7.57,1662808
2007,12,2.8,2331695
2008,1,-0.54,2759639
2008,2,-0.28,2672688
2008,3,7.8,2209630
2008,4,14.16,1545821
2008,5,17.94,1131696
2008,6,21.26,1005045
2008,7,25.69,945618
2008,8,25.32,887867
2008,9,22.27,924605
2008,10,16.61,1126314
2008,11,8.3,1656919
2008,12,2.11,2372082
2009,1,-0.95,2795433
2009,2,4.0,2376039
2009,3,6.87,2147483
2009,4,13.19,1634442
2009,5,19.17,1151216
